,0
m_std,0.15240540051102108
OFI_mean_lag2,0.13120658154498424
OFI_sum_lag2,0.1312065815449842
B_std,0.13022853266369702
m_std_lag1,0.12744911837554182
A_std,0.12080768752830337
OFI_mean_lag1,0.10819128455689442
OFI_sum_lag1,0.10819128455689435
dmt_mean_rm3,0.10614156472569185
A_std_lag1,0.1052459704092839
B_std_lag1,0.1008270923441447
dmt_std,0.09342622492243051
m_mean_rstd3,0.09032470173837429
OFI_mean_rm3,0.08687751746562268
OFI_sum_rm3,0.08687751746562267
m_mean_lag1,0.08680806422298835
A_mean_lag1,0.08647935119369408
A_mean_rstd3,0.08628742181275173
B_mean_lag1,0.08602475951963758
B_mean_rstd3,0.08334686345654892
dmt_mean,0.08230910839513068
B_mean_rstd5,0.07469946629883431
m_std_lag2,0.07403136485669184
OFI_mean,0.07306963285255
OFI_sum,0.07306963285255
m_mean_rstd5,0.07151954543312963
m_mean_lag3,0.07066803840923037
A_mean_lag3,0.07054922331356038
B_mean_lag3,0.06989539622999583
A_mean_rstd5,0.0665832220545465
dmt_mean_lag2,0.06623519856157378
dmt_std_lag1,0.06569499167529416
dmt_mean_rm5,0.06453852097772277
B_std_lag2,0.06387024096122178
dmt_mean_rm10,0.06274865990344514
A_std_lag2,0.06185467093694668
OFI_sum_rm5,0.05064800644261587
OFI_mean_rm5,0.05064800644261585
OFI_mean_lag3,0.04966108102304307
OFI_sum_lag3,0.04966108102304307
OFI_mean_rm10,0.045167402139710884
OFI_sum_rm10,0.04516740213971083
m_std_rm3,0.04502621184095497
B_std_rm3,0.0440186789450487
B_mean_rm5,0.042336913609224966
dmt_std_lag2,0.042015667568613836
B_mean_rm10,0.041800431222310676
m_mean_rm10,0.0414764986198838
m_mean_rm5,0.04143696790147896
A_mean_rm10,0.04106662280165795
A_mean_rm5,0.04040726779294028
dmt_mean_lag1,0.03925464132356543
Q_bid_mean_lag2,0.035491990040461344
Q_bid_sum_lag2,0.0354919900404613
A_std_rm3,0.035486692780778636
dmt_std_rm3,0.03106487159061409
B_mean,0.029889832958606047
m_mean,0.029726808424535345
A_mean,0.02918269003781632
Q_ask_mean_rm10,0.02842119307445018
Q_ask_sum_rm10,0.02842119307445017
B_mean_rm3,0.027613881958555794
dmt_std_lag3,0.02747599661268173
m_mean_rm3,0.02734095107218121
A_mean_rm3,0.026923692493030088
OFI_sum_rstd3,0.026160464617550987
OFI_mean_rstd3,0.0261604646175509
A_std_rstd5,0.025575143229198214
B_mean_lag2,0.02428647379464183
m_std_rstd5,0.02347875807126831
Q_ask_mean_rstd10,0.023265407882391786
Q_ask_sum_rstd10,0.023265407882391245
m_mean_lag2,0.02294386113562672
Q_ask_mean_lag1,0.02245069045986435
Q_ask_sum_lag1,0.02245069045986431
A_mean_lag2,0.021320655343932782
dmt_mean_lag3,0.0194360118358616
Q_bid_mean,0.018315498309825165
Q_bid_sum,0.01831549830982516
s_rel_mean_rstd3,0.017499860916273313
s_mean_rstd3,0.01734974588112638
m_std_rm5,0.016738218216974597
s_rel_std_lag2,0.016439242673937027
Q_bid_mean_lag3,0.016387033957278155
Q_bid_sum_lag3,0.01638703395727815
B_std_rm5,0.016348432452255833
B_std_rstd5,0.016126478044314115
dmt_mean_rstd5,0.016106181512330925
s_std_lag2,0.01605822943200443
dmt_std_rstd10,0.014414924126554051
dmt_mean_rstd10,0.013971010013428634
dmt_std_rm5,0.013780645471868115
A_std_rm5,0.013039221602226108
s_std_lag3,0.012958951330911577
s_rel_mean_rstd5,0.012769442018427744
s_rel_std_lag3,0.0127467306729033
s_mean_rstd5,0.012567428519764572
s_mean_rm5,0.012556379312147611
s_mean_lag2,0.012393699345394827
Q_bid_sum_rm3,0.012106573220830523
Q_bid_mean_rm3,0.012106573220830513
OFI_sum_rstd10,0.01190189230785327
OFI_mean_rstd10,0.011901892307853256
s_rel_std_rstd10,0.010856478751855697
Q_bid_mean_rstd3,0.010521990736960505
Q_bid_sum_rstd3,0.01052199073696032
s_rel_mean_lag2,0.009866223057773143
s_rel_mean_rm5,0.009613010039206886
s_std_rstd3,0.009114617857927042
s_rel_std_rm5,0.008939955052949004
Q_ask_sum_lag3,0.008612879193346865
Q_ask_mean_lag3,0.008612879193346856
s_rel_std_rm10,0.00849128858954435
A_std_rstd10,0.008446638739417811
s_rel_std_rstd3,0.00838501881448153
s_std_rm10,0.008095896473347021
A_std_rstd3,0.00800573384381987
m_std_rstd10,0.007650664531220804
s_rel_std_rm3,0.007443614563315032
s_std_rm5,0.007413242124667444
s_std,0.007377993391424933
Q_bid_sum_rstd5,0.007363475978673048
Q_bid_mean_rstd5,0.007363475978673031
Q_ask_mean_lag2,0.007347516426007936
Q_ask_sum_lag2,0.0073475164260079304
s_std_rstd5,0.007252755237421265
Q_ask_mean_rm3,0.006658107478458847
Q_ask_sum_rm3,0.0066581074784588445
dmt_std_rstd3,0.006555490199445908
s_std_rstd10,0.006511910664752784
dmt_std_rstd5,0.00628414526855622
s_rel_mean,0.006235473515776765
s_std_rm3,0.00621885041015697
Q_ask_mean_rm5,0.006058684284427783
Q_ask_sum_rm5,0.006058684284427783
dmt_std_rm10,0.005810572921688217
B_std_lag3,0.005797087298171104
Q_bid_mean_rm10,0.005751514222743183
Q_bid_sum_rm10,0.005751514222743176
s_mean_lag3,0.00540838520039638
s_rel_mean_lag3,0.005318095053038282
Q_bid_sum_lag1,0.004850910608933476
Q_bid_mean_lag1,0.004850910608933472
s_rel_std_rstd5,0.004607731233993102
s_rel_mean_rstd10,0.004592352182796295
s_mean_lag1,0.004532139754920152
Q_bid_sum_rm5,0.004231771159980092
Q_bid_mean_rm5,0.00423177115998009
B_std_rm10,0.004191930035231312
s_rel_mean_lag1,0.004181773277374289
m_std_lag3,0.004181226674880523
s_std_lag1,0.00409510955162908
s_mean_rstd10,0.003735521655337302
B_mean_rstd10,0.003576772094760828
Q_ask_mean,0.003503086687224627
Q_ask_sum,0.0035030866872246265
s_mean_rm3,0.0030420224208064428
Q_bid_sum_rstd10,0.002651731312478477
Q_bid_mean_rstd10,0.0026517313124782217
Q_ask_sum_rstd5,0.002569053159540333
Q_ask_mean_rstd5,0.0025690531595396276
OFI_mean_rstd5,0.0025543416096837474
OFI_sum_rstd5,0.002554341609683736
s_rel_std,0.002415210452139935
m_std_rm10,0.0023938186110162725
m_std_rstd3,0.002286006622559887
s_mean,0.0020625427652089714
dmt_mean_rstd3,0.002047208323491992
Q_ask_sum_rstd3,0.0019785879126886425
Q_ask_mean_rstd3,0.0019785879126849055
A_std_rm10,0.0019715726533100254
m_mean_rstd10,0.0017031827589517312
A_std_lag3,0.0015981180187888075
B_std_rstd3,0.0013715239543530898
s_mean_rm10,0.0013368648230587497
B_std_rstd10,0.0011693609261534549
s_rel_std_lag1,0.0009746959508285936
s_rel_mean_rm10,0.0007484100893421454
A_mean_rstd10,0.0006001591617467668
s_rel_mean_rm3,0.00029727201047704556
